id,label,value
0,root,0.019204389574759943
1,0,0.0
4,00,0.0
13,000,0.0
40,0000,0.0
121,00000,0.0
364,000000,0.0
365,000001,0.0
366,000002,0.0
122,00001,0.0
367,000010,0.0
368,000011,0.0
369,000012,0.0
123,00002,0.0
370,000020,0.0
371,000021,0.0
372,000022,0.0
41,0001,0.0
124,00010,0.0
373,000100,0.0
374,000101,0.0
375,000102,0.0
125,00011,0.0
376,000110,0.0
377,000111,0.0
378,000112,0.0
126,00012,0.0
379,000120,0.0
380,000121,0.0
381,000122,0.0
42,0002,0.0
127,00020,0.0
382,000200,0.0
383,000201,0.0
384,000202,0.0
128,00021,0.0
385,000210,0.0
386,000211,0.0
387,000212,0.0
129,00022,0.0
388,000220,0.0
389,000221,0.0
390,000222,0.0
14,001,0.0
43,0010,0.0
130,00100,0.0
391,001000,0.0
392,001001,0.0
393,001002,0.0
131,00101,0.0
394,001010,0.0
395,001011,0.0
396,001012,0.0
132,00102,0.0
397,001020,0.0
398,001021,0.0
399,001022,0.0
44,0011,0.0
133,00110,0.0
400,001100,0.0
401,001101,0.0
402,001102,0.0
134,00111,0.0
403,001110,0.0
404,001111,0.0
405,001112,0.0
135,00112,0.0
406,001120,0.0
407,001121,0.0
408,001122,0.0
45,0012,0.0
136,00120,0.0
409,001200,0.0
410,001201,0.0
411,001202,0.0
137,00121,0.0
412,001210,0.0
413,001211,0.0
414,001212,0.0
138,00122,0.0
415,001220,0.0
416,001221,0.0
417,001222,0.0
15,002,0.0
46,0020,0.0
139,00200,0.0
418,002000,0.0
419,002001,0.0
420,002002,0.0
140,00201,0.0
421,002010,0.0
422,002011,0.0
423,002012,0.0
141,00202,0.0
424,002020,0.0
425,002021,0.0
426,002022,0.0
47,0021,0.0
142,00210,0.0
427,002100,0.0
428,002101,0.0
429,002102,0.0
143,00211,0.0
430,002110,0.0
431,002111,0.0
432,002112,0.0
144,00212,0.0
433,002120,0.0
434,002121,0.0
435,002122,0.0
48,0022,0.0
145,00220,0.0
436,002200,0.0
437,002201,0.0
438,002202,0.0
146,00221,0.0
439,002210,0.0
440,002211,0.0
441,002212,0.0
