path,value
000000,0.0
000001,0.0
000002,0.0
000010,0.0
000011,0.0
000012,0.0
000020,0.0
000021,0.0
000022,0.0
000100,0.0
000101,0.0
000102,0.0
000110,0.0
000111,0.0
000112,0.0
000120,0.0
000121,0.0
000122,0.0
000200,0.0
000201,0.0
000202,0.0
000210,0.0
000211,0.0
000212,0.0
000220,0.0
000221,0.0
000222,0.0
001000,0.0
001001,0.0
001002,0.0
001010,0.0
001011,0.0
001012,0.0
001020,0.0
001021,0.0
001022,0.0
001100,0.0
001101,0.0
001102,0.0
001110,0.0
001111,0.0
001112,0.0
001120,0.0
001121,0.0
001122,0.0
001200,0.0
001201,0.0
001202,0.0
001210,0.0
001211,0.0
001212,0.0
001220,0.0
001221,0.0
001222,0.0
002000,0.0
002001,0.0
002002,0.0
002010,0.0
002011,0.0
002012,0.0
002020,0.0
002021,0.0
002022,0.0
002100,0.0
002101,0.0
002102,0.0
002110,0.0
002111,0.0
002112,0.0
002120,0.0
002121,0.0
002122,0.0
002200,0.0
002201,0.0
002202,0.0
002210,0.0
002211,0.0
002212,0.0
002220,0.0
002221,0.0
002222,0.0
010000,0.0
010001,0.0
010002,0.0
010010,0.0
010011,0.0
010012,0.0
010020,0.0
010021,0.0
010022,0.0
010100,0.0
010101,0.0
010102,0.0
010110,0.0
010111,0.0
010112,0.0
010120,0.0
010121,0.0
010122,0.0
010200,0.0
010201,0.0
010202,0.0
010210,0.0
010211,0.0
010212,0.0
010220,0.0
010221,0.0
010222,0.0
011000,0.0
011001,0.0
011002,0.0
011010,0.0
011011,0.0
011012,0.0
011020,0.0
011021,0.0
011022,0.0
011100,0.0
011101,0.0
011102,0.0
011110,0.0
011111,0.0
011112,6.0
011120,0.0
011121,0.0
011122,0.0
011200,0.0
011201,0.0
011202,0.0
011210,0.0
011211,0.0
011212,0.0
011220,0.0
011221,0.0
011222,0.0
012000,0.0
012001,0.0
012002,0.0
012010,0.0
012011,0.0
012012,0.0
012020,0.0
012021,0.0
012022,0.0
012100,0.0
012101,0.0
012102,0.0
012110,0.0
012111,0.0
012112,0.0
012120,0.0
012121,0.0
012122,0.0
012200,0.0
012201,0.0
012202,0.0
012210,0.0
012211,0.0
012212,0.0
012220,0.0
012221,0.0
012222,0.0
020000,0.0
020001,0.0
020002,0.0
020010,0.0
020011,0.0
020012,0.0
020020,0.0
020021,0.0
020022,0.0
020100,0.0
020101,0.0
020102,0.0
020110,0.0
020111,0.0
020112,0.0
020120,0.0
020121,0.0
020122,0.0
020200,0.0
020201,0.0
020202,0.0
020210,0.0
020211,0.0
020212,0.0
020220,0.0
020221,0.0
020222,0.0
021000,0.0
021001,0.0
021002,0.0
021010,0.0
021011,0.0
021012,0.0
021020,0.0
021021,0.0
021022,0.0
021100,0.0
021101,0.0
021102,0.0
021110,0.0
021111,0.0
021112,0.0
021120,0.0
021121,0.0
021122,0.0
021200,0.0
021201,0.0
021202,0.0
021210,0.0
021211,0.0
021212,0.0
021220,0.0
021221,0.0
021222,0.0
022000,0.0
022001,0.0
022002,0.0
022010,0.0
022011,0.0
022012,0.0
022020,0.0
022021,0.0
022022,0.0
022100,0.0
022101,0.0
022102,0.0
022110,0.0
022111,0.0
022112,0.0
022120,0.0
022121,0.0
022122,0.0
022200,0.0
022201,0.0
022202,0.0
022210,0.0
022211,0.0
022212,0.0
022220,0.0
022221,0.0
022222,0.0
100000,0.0
100001,0.0
100002,0.0
100010,0.0
100011,0.0
100012,0.0
100020,0.0
100021,0.0
100022,0.0
100100,0.0
100101,0.0
100102,0.0
100110,0.0
100111,0.0
100112,0.0
100120,0.0
100121,0.0
100122,0.0
100200,0.0
100201,0.0
100202,0.0
100210,0.0
100211,0.0
100212,0.0
100220,0.0
100221,0.0
100222,0.0
101000,0.0
